id,family_id,name,slug,description
proc_abdomen_pelvis_ct_scan,fam_ct_scan,CT scan of abdomen and pelvis ,abdomen-pelvis-ct-scan
proc_abdomen_ultrasound,fam_ultrasound,Ultrasound of abdomen,abdomen-ultrasound
proc_abdomen_x_ray,fam_x_ray,X-ray of abdomen,abdomen-x-ray
proc_abdominal_cavity_ultrasound,fam_ultrasound,Ultrasound behind abdominal cavity,abdominal-cavity-ultrasound
proc_advance_care_planning,fam_care_planning,Advance Care Planning,advance-care-planning
proc_ankle_x_ray,fam_x_ray,X-ray of ankle,ankle-x-ray
proc_annual_alcohol_screening,fam_mental_health_screen,Annual alcohol misuse screening,annual-alcohol-screening
proc_annual_depression_screening,fam_mental_health_screen,Annual depression screening,annual-depression-screening
proc_annual_wellness_visit,fam_office_visit,Annual wellness visit,annual-wellness-visit
proc_arm_joint_mri,fam_mri,Arm joint MRI,arm-joint-mri
proc_arm_leg_arteries_ultrasound,fam_ultrasound,Arm or leg arteries ultrasound,arm-leg-arteries-ultrasound
proc_arm_leg_veins_ultrasound,fam_ultrasound,Arm or leg veins ultrasound,arm-leg-veins-ultrasound
proc_arthrocentesis,fam_joint_clinical_procedure,Aspiration and/or injection of fluid from joint,arthrocentesis
proc_automated_urine_test,fam_urine_test,Automated urine test,automated-urine-test
proc_bladder_capacity_ultrasound,fam_ultrasound,Ultrasound to evaluate bladder capacity ,bladder-capacity-ultrasound
proc_bladder_urethra_endoscopy,fam_endoscopy,Diagnostic exam of bladder and urethra using an endoscope,bladder-urethra-endoscopy
proc_blood_collection,fam_blood_test,Insertion of needle into vein for collection of blood sample,blood-collection
proc_blood_vessels_abdomen_pelvis_ct_scan,fam_ct_scan,CT scan of blood vessels of abdomen and pelvis,blood-vessels-abdomen-pelvis-ct-scan
proc_blood_vessels_chest_ct_scan,fam_ct_scan,CT scan of blood vessels of chest,blood-vessels-chest-ct-scan
proc_blood_vessels_head_ct_scan,fam_ct_scan,CT scan of blood vessels of head,blood-vessels-head-ct-scan
proc_blood_vessels_neck_ct_scan,fam_ct_scan,CT scan of blood vessels of neck,blood-vessels-neck-ct-scan
proc_brain_mri,fam_mri,MRI of brain,brain-mri
proc_breast_ultrasound,fam_ultrasound,Ultrasound of breast(s),breast-ultrasound
proc_chest_cancer_screen_ct_scan,fam_ct_scan,CT scan of chest for cancer screening,chest-cancer-screen-ct-scan
proc_chest_ct_scan,fam_ct_scan,CT scan of chest,chest-ct-scan
proc_chest_x_ray,fam_x_ray,X-ray of chest,chest-x-ray
proc_chronic_care_management,fam_chronic_care,Chronic care management,chronic-care-management
proc_clotting_time_blood_test,fam_blood_test,Clotting time blood test,clotting-time-blood-test
proc_colon_exam_anesthesia,fam_anesthesia,Anesthesia for colon exam,colon-exam-anesthesia
proc_colonoscopy,fam_colonoscopy,Colonoscopy,colonoscopy
proc_complete_blood_cell_count_blood_test,fam_blood_test,Complete blood cell count,complete-blood-cell-count-blood-test
proc_cornea_ultrasound,fam_ultrasound,Ultrasound of cornea,cornea-ultrasound
proc_creatinine_blood_test,fam_blood_test,Creatinine blood test,creatinine-blood-test
proc_critical_care,fam_emergency,Critical care,critical-care
proc_cyanocobalamin_blood_test,fam_blood_test,Cyanocobalamin blood test,cyanocobalamin-blood-test
proc_diagnostic_mammography,fam_mammography,Diagnostic mammography,diagnostic-mammography
proc_elbow_x_ray,fam_x_ray,X-ray of elbow,elbow-x-ray
proc_electrical_stimulation_physical_therapy,fam_physical_therapy,Electrical stimulation for physical therapy,electrical-stimulation-physical-therapy
proc_emergency_visit,fam_emergency,Emergency visit,emergency-visit
proc_face_ct_scan,fam_ct_scan,CT scan of face,face-ct-scan
proc_ferritin_blood_test,fam_blood_test,Ferritin blood test,ferritin-blood-test
proc_foot_x_ray,fam_x_ray,X-ray of foot,foot-x-ray
proc_free_thyroxine_blood_test,fam_blood_test,Free thyroxine blood test,free-thyroxine-blood-test
proc_group_chemicals_blood_test,fam_blood_test,Group chemicals blood test,group-chemicals-blood-test
proc_hand_x_ray,fam_x_ray,X-ray of hand,hand-x-ray
proc_head_brain_ct_scan,fam_ct_scan,CT scan of head or brain,head-brain-ct-scan
proc_head_neck_blood_flow_ultrasound,fam_ultrasound,Ultrasound of head and neck blood flow,head-neck-blood-flow-ultrasound
proc_head_neck_tissue_ultrasound,fam_ultrasound,Ultrasound of head and neck soft tissue,head-neck-tissue-ultrasound
proc_hearing_speech_test,fam_hearing_speech,Hearing and speech test,hearing-speech-test
proc_heart_blood_flow_ultrasound,fam_ultrasound,Ultrasound of heart blood flow,heart-blood-flow-ultrasound
proc_heart_stress_test_ecg,fam_ecg,Heart stress test with ECG,heart-stress-test-ecg
proc_heart_ultrasound,fam_ultrasound,Ultrasound of heart,heart-ultrasound
proc_hemoglobin_a1c_blood_test,fam_blood_test,Hemoglobin A1C blood test,hemoglobin-a1c-blood-test
proc_hip_pelvis_spine_density_dxa,fam_dxa,"Dxa bone density measurement of hip, pelvis, spine",hip-pelvis-spine-density-dxa
proc_hip_thigh_joint_replacement,fam_joint_replacement,Replacement of thigh and hip joint,hip-thigh-joint-replacement
proc_hip_x_ray,fam_x_ray,X-ray of hip,hip-x-ray
proc_home_visit,fam_home_visit,Home visit,home-visit
proc_immunohistochemistry,fam_immunostaining,Special stained specimen slides,immunohistochemistry
proc_influenza_doo_immunoassay,fam_immunoassay,Immunoassay with direct visual observation for influenza,influenza-doo-immunoassay
proc_influenza_vaccine,fam_vaccine,Influenza vaccine,influenza-vaccine
proc_initial_hospital_care,fam_hospital_care,Initial hospital care,initial-hospital-care
proc_initial_nursing_facility_care,fam_nursing_facility_care,Initial nursing facility care,initial-nursing-facility-care
proc_iron_blood_test,fam_blood_test,Iron blood test,iron-blood-test
proc_knee_joint_replacement,fam_joint_replacement,Replacement of knee joint,knee-joint-replacement
proc_knee_joint_replacement_anesthesia,fam_anesthesia,Anesthesia for replacement of knee joint,knee-joint-replacement-anesthesia
proc_knee_x_ray,fam_x_ray,X-ray of knee,knee-x-ray
proc_large_bowel_anesthesia,fam_anesthesia,Anesthesia for procedure on large bowel,large-bowel-anesthesia
proc_large_bowel_biopsy,fam_biopsy,Biopsy of large bowel,large-bowel-biopsy
proc_large_bowel_endoscopy,fam_endoscopy,Endoscopy of large bowel,large-bowel-endoscopy
proc_leg_arteries_ultrasound,fam_ultrasound,Ultrasound of leg arteries,leg-arteries-ultrasound
proc_leg_ct_scan,fam_ct_scan,CT scan of leg,leg-ct-scan
proc_leg_joint_mri,fam_mri,MRI of leg joint,leg-joint-mri
proc_lens_surgery_anesthesia,fam_anesthesia,Anesthesia for lens surgery,lens-surgery-anesthesia
proc_lipids_blood_test,fam_blood_test,Lipids blood test,lipids-blood-test
proc_lower_leg_x_ray,fam_x_ray,X-ray of lower leg,lower-leg-x-ray
proc_lower_spinal_canal_mri,fam_mri,MRI of lower spinal canal,lower-spinal-canal-mri
proc_lower_spine_ct_scan,fam_ct_scan,CT scan of lower spine,lower-spine-ct-scan
proc_lower_spine_x_ray,fam_x_ray,X-ray of lower spine,lower-spine-x-ray
proc_lung_diffusing_capacity_test,fam_lung_test,Lung diffusing capacity test,lung-diffusing-capacity-test
proc_urinalysis,fam_urine_test,Urinalysis,urinalysis
proc_microscope_urinalysis,fam_urine_test,Urinalysis with microscope,microscope-urinalysis
proc_microalbumin_urinalysis,fam_urine_test,Microalbumin urinalysis,microalbumin-urinalysis
proc_moderate_sedation_services,fam_sedation,Moderate sedation service,moderate-sedation-services
proc_office_visit,fam_office_visit,Office visit,office-visit
proc_pap_smear_test,fam_smear_test,Screening papanicolaou smear,pap-smear-test
proc_pelvis_x_ray,fam_x_ray,X-ray of pelvis,pelvis-x-ray
proc_physical_therapy,fam_physical_therapy,Physical therapy,physical-therapy
proc_pneumococcal_vaccine,fam_vaccine,Pneumococcal vaccine,pneumococcal-vaccine
proc_precancer_skin_growth_destruction,fam_skin,Destruction of precancer skin growth,precancer-skin-growth-destruction
proc_prostate_specific_antigen_blood_test,fam_blood_test,Prostate specific antigen blood test,prostate-specific-antigen-blood-test
proc_psychiatric_eval,fam_mental_health_eval,Psychiatric evaluation,psychiatric-eval
proc_psychotherapy,fam_mental_health_therapy,Psychotherapy,psychotherapy
proc_routine_ecg,fam_ecg,Routine ECG,routine-ecg
proc_sarscov2_doo_immunoassay,fam_immunoassay,SARS-COV2 detection with DOO immunoassay,sarscov2-doo-immunoassay
proc_sarscov2_immunoassay,fam_immunoassay,SARS-COV2 detection with immunoassay,sarscov2-immunoassay
proc_sarscov2_influenza_immunoassay,fam_immunoassay,SARS-COV2 and influenza detection with immunoassay,sarscov2-influenza-immunoassay
proc_sarscov2_vaccine,fam_vaccine,SARS-COV2 vaccine,sarscov2-vaccine
proc_screening_mammography,fam_mammography,Screening mammography,screening-mammography
proc_self_care_training,fam_training,Self care training,self-care-training
proc_shoulder_x_ray,fam_x_ray,X-ray of shoulder,shoulder-x-ray
proc_skin_growth_biopsy,fam_biopsy,Biopsy of skin growth,skin-growth-biopsy
proc_skin_growth_destruction,fam_skin,Destruction of skin growth,skin-growth-destruction
proc_small_bowel_anesthesia,fam_anesthesia,Anesthesia of small bowel,small-bowel-anesthesia
proc_small_bowel_biopsy,fam_biopsy,Biopsy of small bowel,small-bowel-biopsy
proc_small_bowel_endoscopy,fam_endoscopy,Endoscopy of small bowel,small-bowel-endoscopy
proc_small_large_bowel_anesthesia,fam_anesthesia,Anesthesia of small or large bowel,small-large-bowel-anesthesia
proc_spinal_chiropractic,fam_chiropractic,Chiropractic manipulative treatment of spine,spinal-chiropractic
proc_spirometry_test,fam_lung_test,Spirometry test,spirometry-test
proc_streptococcus_doo_immunoassay,fam_immunoassay,Streptococcus detection with DOO immunoassay,streptococcus-doo-immunoassay
proc_subsequent_hospital_care,fam_hospital_care,Subsequent hospital care,subsequent-hospital-care
proc_subsequent_nursing_facility_care,fam_nursing_facility_care,Subsequent nursing facility care,subsequent-nursing-facility-care
proc_tele_medical_discussion,fam_tele_medicine,Phone medical discussion,tele-medical-discussion
proc_thigh_bone_x_ray,fam_x_ray,X-ray of thigh bone,thigh-bone-x-ray
proc_transitional_care_mngmnt,fam_hospital_care,Transitional care management,transitional-care-mngmnt
proc_transvaginal_ultrasound,fam_ultrasound,Transvaginal ultrasound,transvaginal-ultrasound
proc_tsh_blood_test,fam_blood_test, Thyroid stimulating hormone (tsh) blood test,tsh-blood-test
proc_tympanometry_test,fam_hearing,Tympanometry test,tympanometry-test
proc_upper_abdomen_anesthesia,fam_anesthesia,Anesthesia for procedure on upper abdomen,upper-abdomen-anesthesia
proc_upper_spinal_canal_mri,fam_mri,MRI of upper spinal canal,upper-spinal-canal-mri
proc_upper_spine_ct_scan,fam_ct_scan,CT scan of upper spine,upper-spine-ct-scan
proc_upper_spine_x_ray,fam_x_ray,X-ray of upper spine,upper-spine-x-ray
proc_vein_chemotherapy,fam_chemotherapy,Chemotherapy through vein,vein-chemotherapy
proc_visual_system_exam,fam_vision,Visual system exam,visual-system-exam
proc_vitamin_d3_blood_test,fam_blood_test,Vitamin D3 blood test,vitamin-d3-blood-test
proc_voice_box_endoscopy,fam_endoscopy,Endoscopy of voice box,voice-box-endoscopy
proc_wrist_x_ray,fam_x_ray,X-ray of wrist,wrist-x-ray
